
🇨🇳央视频道👉天下,#genre#
CCTV1,http://222.241.144.177:8888/rtp/239.76.253.151:9000
CCTV2,http://222.241.144.177:8888/rtp/239.76.253.152:9000
CCTV3,http://222.241.144.177:8888/rtp/239.76.253.153:9000
CCTV4,http://222.241.144.177:8888/rtp/239.76.253.154:9000
CCTV5+,http://222.241.144.177:8888/rtp/239.76.253.168:9000
CCTV5+,http://222.241.144.177:8888/rtp/239.76.251.88:9000
CCTV6,http://222.241.144.177:8888/rtp/239.76.253.156:9000
CCTV7,http://222.241.144.177:8888/rtp/239.76.253.157:9000
CCTV9,http://222.241.144.177:8888/rtp/239.76.253.159:9000
CCTV10,http://222.241.144.177:8888/rtp/239.76.253.160:9000
CCTV12,http://222.241.144.177:8888/rtp/239.76.253.162:9000
CCTV15,http://222.241.144.177:8888/rtp/239.76.252.252:9000
CCTV17,http://222.241.144.177:8888/rtp/239.76.252.238:9000
CCTV4K,rtp:/239.76.252.35:9000

📡综合频道👉IPV6,#genre#
Bestv4K,http://222.241.144.177:8888/rtp/239.76.254.3:9000
CHC家庭影院,http://222.241.144.177:8888/rtp/239.76.252.241:9000
CHC电影,http://222.241.144.177:8888/rtp/239.76.252.242:9000
CHC动作电影,http://222.241.144.177:8888/rtp/239.76.252.243:9000
第一剧场,http://222.241.144.177:8888/rtp/239.76.254.49:9000
风云剧场,http://222.241.144.177:8888/rtp/239.76.254.50:9000
军旅剧场,http://222.241.144.177:8888/rtp/239.76.252.134:9000
经典剧场,http://222.241.144.177:8888/rtp/239.76.252.221:9000
抗战剧场,http://222.241.144.177:8888/rtp/239.76.245.218:1234
家庭剧场,http://222.241.144.177:8888/rtp/239.76.252.220:9000
精选热播,http://222.241.144.177:8888/rtp/239.76.254.110:9000
芒果好看,http://222.241.144.177:8888/rtp/239.76.253.219:9000
综艺纪实,http://222.241.144.177:8888/rtp/239.76.254.111:9000
搞笑动画,http://222.241.144.177:8888/rtp/239.76.247.207:1234

📡卫视频道👉移动,#genre#
湖北卫视,http://222.241.144.177:8888/rtp/239.76.253.193:9000
湖南卫视,http://222.241.144.177:8888/rtp/239.76.253.101:9000
湖南卫视,http://222.241.144.177:8888/rtp/239.76.252.115:9000
凤凰中文,http://222.241.144.177:8888/rtp/239.76.253.134:9000
凤凰资讯,http://222.241.144.177:8888/rtp/239.76.253.135:9000
江苏卫视,http://222.241.144.177:8888/rtp/239.76.253.181:9000
江苏卫视,http://222.241.144.177:8888/rtp/239.76.251.89:9000
浙江卫视,http://222.241.144.177:8888/rtp/239.76.253.182:9000
安徽卫视,http://222.241.144.177:8888/rtp/239.76.252.196:9000
北京卫视,http://222.241.144.177:8888/rtp/239.76.253.184:9000
天津卫视,http://222.241.144.177:8888/rtp/239.76.253.185:9000
天津卫视,http://222.241.144.177:8888/rtp/239.76.251.92:9000
东方卫视,http://222.241.144.177:8888/rtp/239.76.253.186:9000
江西卫视,http://222.241.144.177:8888/rtp/239.76.252.225:9000
深圳卫视,http://222.241.144.177:8888/rtp/239.76.253.188:9000
海南卫视,http://222.241.144.177:8888/rtp/239.76.253.203:9000
广东卫视,http://222.241.144.177:8888/rtp/239.76.252.189:9000
广西卫视,http://222.241.144.177:8888/rtp/239.76.254.54:9000
四川卫视,http://222.241.144.177:8888/rtp/239.76.253.91:9000
重庆卫视,http://222.241.144.177:8888/rtp/239.76.253.92:9000
河南卫视,http://222.241.144.177:8888/rtp/239.76.253.202:9000
贵州卫视,http://222.241.144.177:8888/rtp/239.76.252.198:9000
河北卫视,http://222.241.144.177:8888/rtp/239.76.252.199:9000
